Time [s], Analyzer Name, Decoded Protocol Result
0.002964000000000,pin4,'0' (0x00)
0.007478000000000,pin4,'0' (0x00)
0.011991000000000,pin4,'0' (0x00)
0.016504000000000,pin4,'0' (0x00)
0.021018000000000,pin4,'0' (0x00)
0.025531000000000,pin4,'0' (0x00)
0.030045000000000,pin4,'0' (0x00)
0.034558000000000,pin4,'0' (0x00)
0.039071000000000,pin4,'0' (0x00)
0.043585000000000,pin4,'0' (0x00)
0.048098000000000,pin4,'0' (0x00)
0.052611000000000,pin4,^ (0x5E)
1.243448000000000,pin5,'252' (0xFC)
1.248032000000000,pin5,B (0x42)
1.252615000000000,pin5,'1' (0x01)
1.257199000000000,pin5,0 (0x30)
1.261783000000000,pin5,'16' (0x10)
1.266366000000000,pin5,'2' (0x02)
1.270950000000000,pin5,'0' (0x00)
1.275533000000000,pin5,'0' (0x00)
1.280117000000000,pin5,'0' (0x00)
1.284701000000000,pin5,'0' (0x00)
1.289284000000000,pin5,'0' (0x00)
1.293868000000000,pin5,'0' (0x00)
1.298452000000000,pin5,'0' (0x00)
1.303035000000000,pin5,'0' (0x00)
1.307619000000000,pin5,'0' (0x00)
1.312202000000000,pin5,'0' (0x00)
1.316786000000000,pin5,'0' (0x00)
1.321370000000000,pin5,'0' (0x00)
1.325953000000000,pin5,'0' (0x00)
1.330537000000000,pin5,'0' (0x00)
1.335120000000000,pin5,'0' (0x00)
1.339704000000000,pin5,{ (0x7B)
1.357491000000000,pin4,'252' (0xFC)
1.362004000000000,pin4,b (0x62)
1.366518000000000,pin4,'1' (0x01)
1.371031000000000,pin4,0 (0x30)
1.375544000000000,pin4,'16' (0x10)
1.380058000000000,pin4,'2' (0x02)
1.384571000000000,pin4,'0' (0x00)
1.389084000000000,pin4,'0' (0x00)
1.393598000000000,pin4,'1' (0x01)
1.398111000000000,pin4,'1' (0x01)
1.402625000000000,pin4,'29' (0x1D)
1.407138000000000,pin4,'0' (0x00)
1.411651000000000,pin4,'5' (0x05)
1.416165000000000,pin4,'0' (0x00)
1.420678000000000,pin4,'0' (0x00)
1.425192000000000,pin4,'0' (0x00)
1.429705000000000,pin4,'165' (0xA5)
1.434218000000000,pin4,'0' (0x00)
1.438732000000000,pin4,'0' (0x00)
1.443245000000000,pin4,'0' (0x00)
1.447758000000000,pin4,'0' (0x00)
1.452272000000000,pin4,'146' (0x92)
1.481301000000000,pin5,'252' (0xFC)
1.485885000000000,pin5,B (0x42)
1.490469000000000,pin5,'1' (0x01)
1.495052000000000,pin5,0 (0x30)
1.499636000000000,pin5,'16' (0x10)
1.504219000000000,pin5,'3' (0x03)
1.508803000000000,pin5,'0' (0x00)
1.513387000000000,pin5,'0' (0x00)
1.517970000000000,pin5,'0' (0x00)
1.522554000000000,pin5,'0' (0x00)
1.527137000000000,pin5,'0' (0x00)
1.531721000000000,pin5,'0' (0x00)
